category,keywords
Deposits,"['SDM DEPOSIT CR', 'SDM DEPOSIT', 'DEPOSIT CR']"
Grocery,"['AL FARES PHARMACY', 'ABRAJ AL TAAWUN HYPERMARK', 'QASAR AL NAHDA SUPERMA', 'LULUHYPERMARKET', 'ABRAJ AL TAAWUN HYPER']"
Investment,['getstake.com']
Money Transfer,"['DirectRemit', 'VALUE DATE', 'TELEGRAPHIC TRF RETURN', 'DIRECTREMIT', 'MOBILE BANKING TRANSFER', 'TELEGRAPHIC TRF']"
Petrol,['EMARAT']
Recurring Payments,"['TABBY FZ LLC', 'TABBY']"
Restaurants,"['TALABAT.COM', 'TALABAT PRO', 'NOON FOOD FOOD DELIVERY']"
Salary,['SALARY']
Shopping,"['NOON', 'NOON MINUTES', 'EXCELLENCE DRIVING CENTRE', 'Malabar Gold and Diamonds', 'PAYPAL', 'STEAM PURCHASE', 'Steam Purchase']"
Subscription,"['ROAMRESEARCH.COM', 'CLEENG', 'CURSOR', 'AMAZON PRIME', 'Motley Fool', 'GOOGLE ONE', 'GOOGLE*YOUTUBEPREMIUM', 'CANVA.COM', 'ETISALAT DIGITAL APP', 'PLAYSTATION NETWORK']"
Withdrawals,"['BANK CHARGES', 'VAT', 'VALUE ADDED TAX', 'ATM TRANSACTION', 'ABRAJ AL TAAWUN']"
